method,validation_metric,test_metric,elapsed_seconds,cleaned_count,dataset,task,metric,budget_point,budget_seconds,paper_test_metric,paper_validation_metric
DR,0.9089182811042203,0.8945867659646702,0.01100611686706543,0,cancer,classification,f1,1,30,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.06216692924499512,0,cancer,classification,f1,1,30,0.870417581972327,0.9168492052133099
CR,0.9478624199529636,0.9103110216837553,0.0049517154693603516,41,cancer,classification,f1,1,30,0.9103110216837553,0.9478624199529636
CA,0.9478624199529636,0.9109171691526501,0.06155705451965332,41,cancer,classification,f1,1,30,0.9109171691526501,0.9478624199529636
DMCO,0.8937379946215905,0.8945867659646702,0.11072802543640137,20,cancer,classification,f1,1,30,0.8945867659646702,0.8937379946215905
DR,0.9089182811042203,0.8945867659646702,0.004505157470703125,0,cancer,classification,f1,2,60,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05472278594970703,0,cancer,classification,f1,2,60,0.870417581972327,0.9168492052133099
CR,0.9629995866683673,0.9185990906704081,0.004464149475097656,82,cancer,classification,f1,2,60,0.9185990906704081,0.9629995866683673
CA,0.9780481052159413,0.9564024348956571,0.054461002349853516,82,cancer,classification,f1,2,60,0.9564024348956571,0.9780481052159413
DMCO,0.9629995866683673,0.9333992560030612,0.2615058422088623,45,cancer,classification,f1,2,60,0.9333992560030612,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.0043909549713134766,0,cancer,classification,f1,3,90,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05413198471069336,0,cancer,classification,f1,3,90,0.870417581972327,0.9168492052133099
CR,0.9779304728589698,0.9114671428222682,0.0044097900390625,123,cancer,classification,f1,3,90,0.9114671428222682,0.9779304728589698
CA,0.9781532068704714,0.963743798780295,0.05324387550354004,123,cancer,classification,f1,3,90,0.963743798780295,0.9781532068704714
DMCO,0.9554585845763249,0.9257643076272083,0.24674201011657715,52,cancer,classification,f1,3,90,0.9257643076272083,0.9554585845763249
DR,0.9089182811042203,0.8945867659646702,0.00437617301940918,0,cancer,classification,f1,4,120,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05417490005493164,0,cancer,classification,f1,4,120,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9185990906704081,0.004315853118896484,164,cancer,classification,f1,4,120,0.9185990906704081,0.9853272592362515
CA,0.9781532068704714,0.963743798780295,0.05901503562927246,164,cancer,classification,f1,4,120,0.963743798780295,0.9781532068704714
DMCO,0.9629995866683673,0.9266362961812566,0.10665178298950195,68,cancer,classification,f1,4,120,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004344940185546875,0,cancer,classification,f1,5,150,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05393171310424805,0,cancer,classification,f1,5,150,0.870417581972327,0.9168492052133099
CR,0.9779304728589698,0.9262226190185567,0.0042231082916259766,205,cancer,classification,f1,5,150,0.9262226190185567,0.9779304728589698
CA,0.9781532068704714,0.963743798780295,0.05234980583190918,205,cancer,classification,f1,5,150,0.963743798780295,0.9781532068704714
DMCO,0.9629995866683673,0.9266362961812566,0.10084819793701172,84,cancer,classification,f1,5,150,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004328012466430664,0,cancer,classification,f1,6,180,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.053871870040893555,0,cancer,classification,f1,6,180,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9490241493644335,0.004258155822753906,246,cancer,classification,f1,6,180,0.9490241493644335,0.9853272592362515
CA,0.9853272592362515,0.9490241493644335,0.052583932876586914,246,cancer,classification,f1,6,180,0.9490241493644335,0.9853272592362515
DMCO,0.9629995866683673,0.9266362961812566,0.10049700736999512,100,cancer,classification,f1,6,180,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.0046100616455078125,0,cancer,classification,f1,7,210,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.054476022720336914,0,cancer,classification,f1,7,210,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9416058394160584,0.0041577816009521484,287,cancer,classification,f1,7,210,0.9416058394160584,0.9853272592362515
CA,0.9634135086932353,0.9564024348956571,0.05220913887023926,287,cancer,classification,f1,7,210,0.9564024348956571,0.9634135086932353
DMCO,0.9629995866683673,0.9266362961812566,0.10055708885192871,116,cancer,classification,f1,7,210,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004334926605224609,0,cancer,classification,f1,8,240,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05397987365722656,0,cancer,classification,f1,8,240,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9564024348956571,0.004273891448974609,328,cancer,classification,f1,8,240,0.9564024348956571,0.9853272592362515
CA,0.9853272592362515,0.9564024348956571,0.05180215835571289,328,cancer,classification,f1,8,240,0.9564024348956571,0.9853272592362515
DMCO,0.9629995866683673,0.9266362961812566,0.10050678253173828,132,cancer,classification,f1,8,240,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.004318952560424805,0,cancer,classification,f1,9,270,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.053789377212524414,0,cancer,classification,f1,9,270,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9564024348956571,0.004264116287231445,369,cancer,classification,f1,9,270,0.9564024348956571,0.9853272592362515
CA,0.9853272592362515,0.9564024348956571,0.05287504196166992,369,cancer,classification,f1,9,270,0.9564024348956571,0.9853272592362515
DMCO,0.9629995866683673,0.9266362961812566,0.10058999061584473,148,cancer,classification,f1,9,270,0.9266362961812566,0.9629995866683673
DR,0.9089182811042203,0.8945867659646702,0.0043299198150634766,0,cancer,classification,f1,10,300,0.8945867659646702,0.9089182811042203
DA,0.9168492052133099,0.870417581972327,0.05380892753601074,0,cancer,classification,f1,10,300,0.870417581972327,0.9168492052133099
CR,0.9853272592362515,0.9564024348956571,0.004210948944091797,409,cancer,classification,f1,10,300,0.9564024348956571,0.9853272592362515
CA,0.9709349565971047,0.963743798780295,0.05199480056762695,409,cancer,classification,f1,10,300,0.963743798780295,0.9709349565971047
DMCO,0.9629995866683673,0.9266362961812566,0.1002960205078125,164,cancer,classification,f1,10,300,0.9266362961812566,0.9629995866683673
DR,-71.47026736163147,-88.86574846964207,0.005011081695556641,0,nasa,regression,mse,1,30,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.03194999694824219,0,nasa,regression,mse,1,30,88.86574846964207,71.47026736163147
CR,-53.33018221823575,-58.57699379475105,0.0023310184478759766,91,nasa,regression,mse,1,30,58.57699379475105,53.33018221823575
CA,-53.33018221823575,-58.57699379475105,0.027976274490356445,91,nasa,regression,mse,1,30,58.57699379475105,53.33018221823575
DMCO,-46.57930982242359,-46.219283773839216,0.16362714767456055,10,nasa,regression,mse,1,30,46.219283773839216,46.57930982242359
DR,-71.47026736163147,-88.86574846964207,0.0022063255310058594,0,nasa,regression,mse,2,60,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.0317840576171875,0,nasa,regression,mse,2,60,88.86574846964207,71.47026736163147
CR,-47.58334103030482,-50.465124276534354,0.002315044403076172,181,nasa,regression,mse,2,60,50.465124276534354,47.58334103030482
CA,-47.58334103030482,-50.465124276534354,0.027663230895996094,181,nasa,regression,mse,2,60,50.465124276534354,47.58334103030482
DMCO,-48.43118298977154,-47.13997502082652,0.27210378646850586,19,nasa,regression,mse,2,60,47.13997502082652,48.43118298977154
DR,-71.47026736163147,-88.86574846964207,0.002271890640258789,0,nasa,regression,mse,3,90,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.031980037689208984,0,nasa,regression,mse,3,90,88.86574846964207,71.47026736163147
CR,-45.866780651473285,-47.83615164832379,0.0023157596588134766,271,nasa,regression,mse,3,90,47.83615164832379,45.866780651473285
CA,-45.98274605471556,-47.79677315342234,0.028117895126342773,271,nasa,regression,mse,3,90,47.79677315342234,45.98274605471556
DMCO,-49.60356997668853,-48.38952713975567,0.27027201652526855,28,nasa,regression,mse,3,90,48.38952713975567,49.60356997668853
DR,-71.47026736163147,-88.86574846964207,0.0022268295288085938,0,nasa,regression,mse,4,120,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.031852006912231445,0,nasa,regression,mse,4,120,88.86574846964207,71.47026736163147
CR,-45.19095555289178,-47.2887274619992,0.0023031234741210938,361,nasa,regression,mse,4,120,47.2887274619992,45.19095555289178
CA,-44.72665014517543,-46.05279828703451,0.02804875373840332,361,nasa,regression,mse,4,120,46.05279828703451,44.72665014517543
DMCO,-49.63418340756445,-48.37535271593018,0.2698550224304199,37,nasa,regression,mse,4,120,48.37535271593018,49.63418340756445
DR,-71.47026736163147,-88.86574846964207,0.002246856689453125,0,nasa,regression,mse,5,150,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.03172588348388672,0,nasa,regression,mse,5,150,88.86574846964207,71.47026736163147
CR,-44.19030843805519,-44.06986983797251,0.0023109912872314453,451,nasa,regression,mse,5,150,44.06986983797251,44.19030843805519
CA,-43.647193809209774,-43.5944267146841,0.027797937393188477,451,nasa,regression,mse,5,150,43.5944267146841,43.647193809209774
DMCO,-51.96351599646023,-49.67726999352548,0.2714529037475586,46,nasa,regression,mse,5,150,49.67726999352548,51.96351599646023
DR,-71.47026736163147,-88.86574846964207,0.0022001266479492188,0,nasa,regression,mse,6,180,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.03179597854614258,0,nasa,regression,mse,6,180,88.86574846964207,71.47026736163147
CR,-41.647286957688166,-41.16216251382264,0.002312898635864258,541,nasa,regression,mse,6,180,41.16216251382264,41.647286957688166
CA,-41.647286957688166,-41.16216251382264,0.02763223648071289,541,nasa,regression,mse,6,180,41.16216251382264,41.647286957688166
DMCO,-53.22307789233782,-49.91350947852,0.2696561813354492,55,nasa,regression,mse,6,180,49.91350947852,53.22307789233782
DR,-71.47026736163147,-88.86574846964207,0.002298116683959961,0,nasa,regression,mse,7,210,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.031744956970214844,0,nasa,regression,mse,7,210,88.86574846964207,71.47026736163147
CR,-41.28031862078058,-40.468679587826145,0.002318859100341797,631,nasa,regression,mse,7,210,40.468679587826145,41.28031862078058
CA,-40.747402133911216,-39.88611320291195,0.02788090705871582,631,nasa,regression,mse,7,210,39.88611320291195,40.747402133911216
DMCO,-53.40972713711641,-49.87674722108384,0.3011050224304199,64,nasa,regression,mse,7,210,49.87674722108384,53.40972713711641
DR,-71.47026736163147,-88.86574846964207,0.0022809505462646484,0,nasa,regression,mse,8,240,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.031915903091430664,0,nasa,regression,mse,8,240,88.86574846964207,71.47026736163147
CR,-40.346985595546016,-38.07385046777303,0.0024170875549316406,721,nasa,regression,mse,8,240,38.07385046777303,40.346985595546016
CA,-41.547140138251336,-39.46777738593699,0.028145790100097656,721,nasa,regression,mse,8,240,39.46777738593699,41.547140138251336
DMCO,-53.61822587242086,-49.91775635937516,0.2673778533935547,73,nasa,regression,mse,8,240,49.91775635937516,53.61822587242086
DR,-71.47026736163147,-88.86574846964207,0.0022728443145751953,0,nasa,regression,mse,9,270,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.03188514709472656,0,nasa,regression,mse,9,270,88.86574846964207,71.47026736163147
CR,-34.6684740657884,-30.97915870313713,0.0023250579833984375,811,nasa,regression,mse,9,270,30.97915870313713,34.6684740657884
CA,-34.53631389122977,-30.798247831726336,0.02818608283996582,811,nasa,regression,mse,9,270,30.798247831726336,34.53631389122977
DMCO,-57.02494244335947,-52.31767719049216,0.26807308197021484,82,nasa,regression,mse,9,270,52.31767719049216,57.02494244335947
DR,-71.47026736163147,-88.86574846964207,0.0022499561309814453,0,nasa,regression,mse,10,300,88.86574846964207,71.47026736163147
DA,-71.47026736163147,-88.86574846964207,0.03181600570678711,0,nasa,regression,mse,10,300,88.86574846964207,71.47026736163147
CR,-30.098164426601826,-22.40310052594533,0.002301931381225586,901,nasa,regression,mse,10,300,22.40310052594533,30.098164426601826
CA,-29.97728527778162,-22.269323949424074,0.02869391441345215,901,nasa,regression,mse,10,300,22.269323949424074,29.97728527778162
DMCO,-55.44596317230337,-51.24758755687134,0.26718688011169434,91,nasa,regression,mse,10,300,51.24758755687134,55.44596317230337
DR,-1.182371968423296,-1.2260703825577104,0.0061798095703125,0,soilmoisture,regression,mse,1,30,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.4354729652404785,0,soilmoisture,regression,mse,1,30,1.2260703825577104,1.182371968423296
CR,-0.5608029467488181,-0.8856274255390069,0.004175901412963867,41,soilmoisture,regression,mse,1,30,0.8856274255390069,0.5608029467488181
CA,-0.5608029467488181,-0.8856274255390069,0.5076029300689697,41,soilmoisture,regression,mse,1,30,0.8856274255390069,0.5608029467488181
DMCO,-0.9070846968900854,-0.9846346266229633,1.677581787109375,15,soilmoisture,regression,mse,1,30,0.9846346266229633,0.9070846968900854
DR,-1.182371968423296,-1.2260703825577104,0.004087924957275391,0,soilmoisture,regression,mse,2,60,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.4359722137451172,0,soilmoisture,regression,mse,2,60,1.2260703825577104,1.182371968423296
CR,-0.36103977714903734,-0.657423300801168,0.004163980484008789,82,soilmoisture,regression,mse,2,60,0.657423300801168,0.36103977714903734
CA,-0.36103977714903734,-0.657423300801168,0.4722409248352051,82,soilmoisture,regression,mse,2,60,0.657423300801168,0.36103977714903734
DMCO,-0.9886623092453846,-1.1190435967834587,1.7756078243255615,27,soilmoisture,regression,mse,2,60,1.1190435967834587,0.9886623092453846
DR,-1.182371968423296,-1.2260703825577104,0.004026889801025391,0,soilmoisture,regression,mse,3,90,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.43522000312805176,0,soilmoisture,regression,mse,3,90,1.2260703825577104,1.182371968423296
CR,-0.2579455588742349,-0.6186568470585199,0.004143238067626953,123,soilmoisture,regression,mse,3,90,0.6186568470585199,0.2579455588742349
CA,-0.2579455588742349,-0.6186568470585199,0.48878908157348633,123,soilmoisture,regression,mse,3,90,0.6186568470585199,0.2579455588742349
DMCO,-0.424296417979538,-0.6646557713215255,1.8415658473968506,39,soilmoisture,regression,mse,3,90,0.6646557713215255,0.424296417979538
DR,-1.182371968423296,-1.2260703825577104,0.003982067108154297,0,soilmoisture,regression,mse,4,120,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.43544697761535645,0,soilmoisture,regression,mse,4,120,1.2260703825577104,1.182371968423296
CR,-0.2494126345368305,-0.5697553100481253,0.004142045974731445,163,soilmoisture,regression,mse,4,120,0.5697553100481253,0.2494126345368305
CA,-0.2494126345368305,-0.5697553100481253,0.620013952255249,163,soilmoisture,regression,mse,4,120,0.5697553100481253,0.2494126345368305
DMCO,-0.3738680311392006,-0.6608177490855368,1.9051170349121094,51,soilmoisture,regression,mse,4,120,0.6608177490855368,0.3738680311392006
DR,-1.182371968423296,-1.2260703825577104,0.004045724868774414,0,soilmoisture,regression,mse,5,150,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.4353668689727783,0,soilmoisture,regression,mse,5,150,1.2260703825577104,1.182371968423296
CR,-0.24781786390088384,-0.5693927795590253,0.004150867462158203,204,soilmoisture,regression,mse,5,150,0.5693927795590253,0.24781786390088384
CA,-0.24781786390088384,-0.5693927795590253,0.5909919738769531,204,soilmoisture,regression,mse,5,150,0.5693927795590253,0.24781786390088384
DMCO,-0.38981898474516546,-0.7117995349852954,1.9717721939086914,63,soilmoisture,regression,mse,5,150,0.7117995349852954,0.38981898474516546
DR,-1.182371968423296,-1.2260703825577104,0.004174947738647461,0,soilmoisture,regression,mse,6,180,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.4421079158782959,0,soilmoisture,regression,mse,6,180,1.2260703825577104,1.182371968423296
CR,-0.24120711391300642,-0.5431587384492492,0.004124164581298828,245,soilmoisture,regression,mse,6,180,0.5431587384492492,0.24120711391300642
CA,-0.24120711391300642,-0.5431587384492492,0.6403310298919678,245,soilmoisture,regression,mse,6,180,0.5431587384492492,0.24120711391300642
DMCO,-0.5091097334637629,-0.6630069725304405,2.0354838371276855,75,soilmoisture,regression,mse,6,180,0.6630069725304405,0.5091097334637629
DR,-1.182371968423296,-1.2260703825577104,0.00392913818359375,0,soilmoisture,regression,mse,7,210,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.4371609687805176,0,soilmoisture,regression,mse,7,210,1.2260703825577104,1.182371968423296
CR,-0.23202007470730607,-0.5258827060196889,0.004144906997680664,285,soilmoisture,regression,mse,7,210,0.5258827060196889,0.23202007470730607
CA,-0.23202007470730607,-0.5258827060196889,0.6062619686126709,285,soilmoisture,regression,mse,7,210,0.5258827060196889,0.23202007470730607
DMCO,-1.2621570719157715,-1.1499907881501112,0.9220750331878662,87,soilmoisture,regression,mse,7,210,1.1499907881501112,1.2621570719157715
DR,-1.182371968423296,-1.2260703825577104,0.004194021224975586,0,soilmoisture,regression,mse,8,240,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.43669795989990234,0,soilmoisture,regression,mse,8,240,1.2260703825577104,1.182371968423296
CR,-0.23020768882628856,-0.46080590536343247,0.0041637420654296875,326,soilmoisture,regression,mse,8,240,0.46080590536343247,0.23020768882628856
CA,-0.23020768882628856,-0.46080590536343247,0.6594278812408447,326,soilmoisture,regression,mse,8,240,0.46080590536343247,0.23020768882628856
DMCO,-1.2331483062850832,-1.1877699764849723,0.9573209285736084,99,soilmoisture,regression,mse,8,240,1.1877699764849723,1.2331483062850832
DR,-1.182371968423296,-1.2260703825577104,0.004054069519042969,0,soilmoisture,regression,mse,9,270,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.47383999824523926,0,soilmoisture,regression,mse,9,270,1.2260703825577104,1.182371968423296
CR,-0.2295569810948854,-0.3674798752768242,0.0043408870697021484,367,soilmoisture,regression,mse,9,270,0.3674798752768242,0.2295569810948854
CA,-0.2295569810948854,-0.3674798752768242,0.6703453063964844,367,soilmoisture,regression,mse,9,270,0.3674798752768242,0.2295569810948854
DMCO,-0.2713691423758409,-0.4602146975051465,2.119917869567871,111,soilmoisture,regression,mse,9,270,0.4602146975051465,0.2713691423758409
DR,-1.182371968423296,-1.2260703825577104,0.0041599273681640625,0,soilmoisture,regression,mse,10,300,1.2260703825577104,1.182371968423296
DA,-1.182371968423296,-1.2260703825577104,0.43483424186706543,0,soilmoisture,regression,mse,10,300,1.2260703825577104,1.182371968423296
CR,-0.22497232350556,-0.563518242927541,0.004203081130981445,407,soilmoisture,regression,mse,10,300,0.563518242927541,0.22497232350556
CA,-0.22497232350556,-0.563518242927541,0.6866559982299805,407,soilmoisture,regression,mse,10,300,0.563518242927541,0.22497232350556
DMCO,-0.646134552424334,-1.0917803604114265,2.419455051422119,82,soilmoisture,regression,mse,10,300,1.0917803604114265,0.646134552424334
